distancia,reflexao
0.0,40.647
0.005081,10.996
0.010162,0.0
0.015244,52.727
0.020325,53.972
0.025406,54.214
0.030487,54.332
0.035569,54.337
0.04065,55.662
0.045731,56.166
0.050812,56.155
0.055893,56.129
0.060975,56.102
0.066056,56.068
0.071137,56.058
0.076218,56.07
0.0813,56.088
0.086381,56.122
0.091462,56.128
0.096543,56.144
0.101625,56.151
0.106706,56.14
0.111787,56.166
0.116868,55.895
0.121949,55.6
0.127031,55.452
0.132112,55.358
0.137193,55.314
0.142274,54.357
0.147356,53.238
0.152437,52.901
0.157518,52.823
0.162599,52.808
0.16768,52.8
0.172762,52.795
0.177843,52.795
0.182924,52.801
0.188005,52.799
0.193087,52.791
0.198168,52.795
0.203249,52.789
0.20833,52.788
0.213411,52.785
0.218493,52.781
0.223574,52.78
0.228655,52.774
0.233736,52.776
0.238818,52.77
0.243899,52.763
0.24898,52.759
0.254061,52.749
0.259143,52.744
0.264224,52.736
0.269305,52.736
0.274386,52.735
0.279467,52.738
0.284549,52.735
0.28963,52.736
0.294711,52.73
0.299792,52.726
0.304874,52.717
0.309955,52.709
0.315036,52.72
0.320117,52.713
0.325198,52.708
0.33028,52.701
0.335361,52.703
0.340442,52.696
0.345523,52.7
0.350605,52.695
0.355686,52.691
0.360767,52.695
0.365848,52.695
0.37093,52.694
0.376011,52.688
0.381092,52.683
0.386173,52.689
0.391254,52.689
0.396336,52.685
0.401417,52.685
0.406498,52.685
0.411579,52.678
0.416661,52.681
0.421742,52.673
0.426823,52.678
0.431904,52.677
0.436985,52.676
0.442067,52.677
0.447148,52.675
0.452229,52.673
0.45731,52.674
0.462392,52.676
0.467473,52.667
0.472554,52.663
0.477635,52.666
0.482716,52.669
0.487798,52.673
0.492879,52.672
0.49796,52.665
0.503041,52.669
0.508123,52.66
0.513204,52.664
0.518285,52.662
0.523366,52.652
0.528448,52.654
0.533529,52.654
0.53861,52.648
0.543691,52.647
0.548772,52.648
0.553854,52.648
0.558935,52.653
0.564016,52.644
0.569097,52.645
0.574179,52.649
0.57926,52.644
0.584341,52.63
0.589422,52.629
0.594503,52.629
0.599585,52.623
0.604666,52.622
0.609747,52.628
0.614828,52.616
0.61991,52.617
0.624991,52.623
0.630072,52.615
0.635153,52.622
0.640234,52.619
0.645316,52.618
0.650397,52.621
0.655478,52.614
0.660559,52.617
0.665641,52.608
0.670722,52.605
0.675803,52.606
0.680884,52.601
0.685966,52.609
0.691047,52.605
0.696128,52.6
0.701209,52.598
0.70629,52.598
0.711372,52.6
0.716453,52.599
0.721534,52.592
0.726615,52.592
0.731697,52.597
0.736778,52.591
0.741859,52.585
0.74694,52.583
0.752021,52.581
0.757103,52.576
0.762184,52.578
0.767265,52.578
0.772346,52.577
0.777428,52.573
0.782509,52.569
0.78759,52.57
0.792671,52.565
0.797752,52.564
0.802834,52.564
0.807915,52.561
0.812996,52.565
0.818077,52.559
0.823159,52.554
0.82824,52.56
0.833321,52.561
0.838402,52.559
0.843484,52.552
0.848565,52.555
0.853646,52.557
0.858727,52.55
0.863808,52.555
0.86889,52.547
0.873971,52.545
0.879052,52.54
0.884133,52.539
0.889215,52.542
0.894296,52.539
0.899377,52.539
0.904458,52.539
0.909539,52.538
0.914621,52.528
0.919702,52.521
0.924783,52.52
0.929864,52.521
0.934946,52.518
0.940027,52.523
0.945108,52.517
0.950189,52.512
0.955271,52.504
0.960352,52.501
0.965433,52.504
0.970514,52.501
0.975595,52.498
0.980677,52.496
